Post_ID,Post_Text,Post_Comments
101768433554_10156043533263555,Seit heute Morgen in der Früh kein Internet kein Telefon und kein TV.Bei einem Anruf zwecks der Störung kommt die Ansage von mindestens 60 Minuten Wartezeit.2 Stunden später kommt dann mal von Euch ein Rückruf wo es dann lapidar heißt das die Leitung nicht in Ordnung ist und es frühstens Montag in Ordnung gebracht werden kann.Wenn ich mir aber sämtliche Kommentare heute im Netz ansehe dann würde ich gerade am liebsten den Telekomladen hochgehen lassen.Das da mit der Leitung ist nur ein vorgeschobener Vorwand um nicht mit der Wahrheit was denn nun wirklich los ist raus zu rücken.Warum kann man mit dem Kunden nicht ehrlich umgehen und vor allem wäre mal ein öffentliches Statement gut zu Gesicht stehen.Nun gut wir sind nun über ein Gastzugang von Vodafone im Netz für den Fernsehempfang haben wir nun eine Antenne mit DVB-Box gekauft-100 Euro-bekommen wir wohl nicht ersetzt genauso wie es die Telekom auch nicht nötig hat hier auf Beiträge zu Antworten.....Zum aller nächst möglichen Termin werden wir nun kündigen.Uns reicht es.Den Neukunden wird Kohle hinterher geschmissen und die alten Bestandskunden dürfen das mit den teuren Gebühren bezahlen anbei noch die dreckigen Sponsorengelder im Fußball.Ihr solltet lieber mal mehr für Euren Laden tun.,"['....und wieder so ein Möchtegern  :D', 'Lass die Drogen weg.']"
101768433554_10156043469418555,Trauriger Laden  die Telekom wollte mir eine schnellere Verbindung einrichten  nun hab ich seit 2 Tagen kein Internet und kein Telefon mehr. Bis Montag werden Sie es auch nicht mehr hinbekommen  tolle Firma! Qualität vom feinsten! Daumen hoch🤢👎,"['Ne sollte nur schneller gemacht werden. Ich hätte schon einen IP Anschluss, anscheinend ist ein Draht nicht angeschlossen, laut den Techniker am Telefon.', 'Hallo Thomas, das bedauere ich sehr. Leider kann es auch zu Verzögerungen kommen. Aber wie ich Ihrem Beitrag entnehme, sind die Kollegen hier bereits informiert. Da müssen wir dann abwarten. Halten Sie uns doch auf dem Laufenden. Viele Grüße Türkan Ü. von Telekom hilft https://www.facebook.com/telekomhilft']"
101768433554_10156043410598555,Geehrtes Telekom Team   Die letzten Jahren war ich als Telekom prepaid Kunde SEHR zufrieden und deshalb habe ich zwei Mobilfunkverträge abgeschlossen. Auch enthalten in beiden Verträge weltweiten Hotspot  dies aber bei beiden nicht funktioniert. Können Sie bitte mit mir in Verbindung setzen. Gruß Sen,"['Hallo Ümit Sen, es freut mich zu hören, dass Sie zufrieden sind. Sie möchte ihre Hotspot-Option nutzen, dann aktivieren Sie diese wie es hier auf der Seite steht: http://bit.ly/2D9775Q Sollten noch weitere Fragen bestehen, helfe ich gerne. Liebe Grüße Mira M. von Telekom hilft https://www.facebook.com/telekomhilft']"
101768433554_10156043207878555,Hallo TCom. Seit heute morgen um 6 Uhr kein Internet. Kein TV. GsD waren wir den halben Tag unterwegs.  Einloggen bzw registrieren in euer Störungs-Meldungsformular hat knapp eine Stunde gedauert  (wahrscheinlich noch schneller als über die Hotline...) Das Ticket steht offen. Sagt mal  bekomm ich eigentlich eine Vergütung von euch wenn der Fehler bei euch liegt? Zahle  ja für 24/7 Internet und TV.  Eben die Meldung das es bis Dienstag dauernd kann das zu beheben. Euer Ernst?,['Das ist alles im Rahmen. Wochenenden zählen nicht zu Entstörtagen']
101768433554_10156043169778555,Guten Tag  mit großer Frustration und Enttäuschung mussten wir nun feststellen  dass die Telekom nicht das hält  was sie bisweilen verspricht.  Wir sind zum 01.12.2017 umgezogen. Für unsere neue Wohnung haben wir uns für die Telekom entschieden und dort unseren Internet- und Telefonvertrag abgeschlossen.  Wir haben im Anschluss einen Bereitstellungstermin der Telekom erhalten. Mit diesem Schritt ging die Misere los.  Wir haben den Router und die Zugangsdaten erhalten und haben diese in Betrieb genommen. Mit dem Erfolg  dass es nicht funktioniert hat. Anschließend haben wir uns mit der Telekom in Verbindung gesetzt. Uns wurde ein Techniker versprochen um das Problem zu beheben. Dieser Techniker kam und es wurde festgestellt  dass der Fehler bereits durch die Telekom verursacht wurde. Die Kabel wurden durch einen vorherigen Techniker der Telekom falsch angeschlossen. Die versprochene Gutschrift über den Ausfall respektive das nicht Funktionieren des Internet- und Telefonanschluss haben wir bis heute nicht erhalten.   Nun funktioniert seit 11.01.2018 das Internet und Telefon erneut nicht. Nach zweistündigem Aufenthalt in der Telekom-Warteschleife wurde uns ein Techniker für heute 13.01.2018 versprochen. Wir haben eine SMS erhalten mit Datum und Uhrzeit und dem Vermerk  dass der Techniker vor Ankunft uns telefonisch kontaktiert. Wir waren nun den ganzen Tag zu Hause und haben auf den Techniker gewartet. Wer nicht kam  war der versprochene Telekom-Techniker. Allerdings haben wir wundersamer Weise eine Nachricht erhalten  dass der Auftrag abgeschlossen sei und wir den Techniker bitte bewerten möchten. Was hier eine bodenlose Unverschämtheit ist. Hier stellt sich uns die Frage  hatte der Techniker schlichtweg keine Lust sich mit uns auseinander zu setzen? Wollte er nicht klingeln oder wollte er einfach schneller in den Feierabend starten?   Das Internet und Telefon funktioniert nun nach wie vor nicht. Daraufhin haben wir uns erneut in die Warteschleife der Telekom gewagt mit einem weiteren ernüchternen Ergebnis. Uns wurde nun wieder ein Techniker versprochen. Allerdings erst für einen Termin am Montag  22.01.2018. Die  freundliche  Dame am Telefon zeigte sich nicht sehr serviceorientiert. Ihr war das schlichtweg egal  ob wir Internet haben oder nicht und stellt dann noch tatsächlich die Frage ob wir nun vom Festnetz aus anrufen. Mitdenken ist hier wohl nicht ein Tagesordnungspunkt.  Bei allem gebührenden Respekt zweifeln wir gerade sehr am Service der Telekom und  freuen  uns sehr über die Bestätigung des Paradebeispiels für den Begriff  Servicewüste . Es mag sicher kompetente Mitarbeiter bei der Telekom geben  wir hatten leider nicht die Ehre diese kennen zu lernen bzw. mit Ihnen arbeiten zu dürfen.  Falls die Telekom nun nicht handelt  werden wir definitiv wieder kündigen. Sowohl Privat als auch unsere gesamten gewerblichen Verträge!  So viel zum Thema Telekom-hilft!! Vielen Dank dafür!!,"['Hallo Lena, es tut mir sehr leid, dass Ihr Termin ,den Sie mit uns heute vereinbart hatten, gescheitert ist. Ich möchte Sie aber in dieser Situation nicht alleine lassen und schaue gerne nach, was da mit dem Termin passiert ist. Haben Sie die Möglichkeit mir eine Rückrufnummer per DM zu schicken unter der ich Sie erreichen kann? http://bit.ly/DMBlogPK Dann schaue ich mir das gemeinsam mit Ihnen ganz genau an und ich stelle anschließend auch sicher, dass Sie Ihren Anschluss schon bald wieder nutzen können. Beste Grüße, Tobias H. von Telekom hilft']"
101768433554_10156042966938555,Euer verdammtes Steinzeit Internet kotzt mich so an!  Die teuersten auf den Markt sein und sowas einem anzubieten!  Und dann muss ich auch noch über ein Jahr warten dass ich wieder RICHTIGES inet habe!  Nie wieder euer mist!,"['Hallo Ma Hö, worum geht es denn genau? Leider kann ich nicht ganz folgen. Vielleicht können Sie uns erst aufklären? Viele Grüße Türkan Ü. von Telekom hilft https://www.facebook.com/telekomhilft']"
101768433554_10156042649673555,Es ist schon putzig  dass man sich über seinen Festnetz-Telefonanbieter bei der Bundesnetzagentur beschweren muss  weil man mehrfach täglich Anrufe von ihm bekommt  bei dem sich niemand meldet und bei Rückruf niemand in der Lage ist eine Beschwerde aufzunehmen und intern an die zuständige Stelle weiterzugeben. Ich sag nur:  Die Drei mit den Mützen .,"['Ich habe die in meinem Router gesperrt. Ausserdem habe ich die Nummer bei der Bundesnetzagentur gemeldet. Wenn die Herrschaften nicht in der Lage sind, Beschwerden selbst zu bearbeiten, dann muss es eben über die BNetzA gehen. Vielleicht hilft es ja. Der Witz der Sache ist, dass ich gerade auf einen Anruf der Kundenbetreuung warte und nun nicht weiß ob es sich um den erwarteten Rückruf oder eine Werbemassnahme handelt.', 'Das scheinen Werbeanrufe zu sein. Die werden computergesteuert zeitgleich abgesetzt. Nimmt jemand ab ist bei den anderen nix mehr zu hören. Du kannst im Kundencenter die telefonische Kontaktaufnahme deaktivieren', 'Der Witz der Sache ist, dass ich ja einen Anruf von der Telekom Kundenbetreuung erwarte. Daher ist dass Sperren und Deaktivieren nicht wirklich zielführend.', 'Hallo Martin, auch ich kann mich hier nur anschließen. Wir möchten Sie nicht verärgern, ganz im Gegenteil. Dies geschieht nicht absichtlich. Die Nummern können wir zu Ihrem Anschluss sperren. Ansonsten besteht nur die Möglichkeit, dass Sie den Informationsservice im Kundencenter deaktivieren. Viele Grüße Türkan Ü. von Telekom hilft https://www.facebook.com/telekomhilft']"
101768433554_10156042395343555,Wollen mit mir keinen Vertrag abschließen Obwohl ich nirgends Schulden habe und keine negativen Einträge bei Schufa etc. Bei Nachfrage hieß es das sie mit niemandem einen Vertrag abschließen müssen  es läge auch nicht an negativen Schufa Einträgen oder sonst was sondern das sie einfach abgestimmt haben meinen Vertrag abzulehnen. Außer ich Zahl für den gleichen Vertrag 20-30€ mehr monatlich vor Ort an einem Telekom Shop  Dan sollte ich noch geld im voraus zahlen. Was für mich kein Problem ist aber da der Vertrag direkt über Telekom laufen würde  hätte man mich total über den Tisch gezogen was den Preis betrifft. Und soll Dan noch für ein schlechteres Smartphone 400-500€ extra zahlen. Bei dem Drittanbieter (seriöser Partner der Telekom) hätte ich den Vertrag 20-30€ billiger bekommen monatlich und ein besseres Smartphone für 30€. Scheint wohl die neuste Abzocker Masche zu sein. Keinen guten Vertrag abschließen lassen aber wen man Dan einiges mehr geld zahlt ist das wohl kein Problem mehr...,"['Hallo Rahman, tut mir leid, dass das mit dem Vertrag bei uns nicht geklappt hat. Normalerweise wird auch immer der Grund mitgeteilt, warum der Vertrag abgelehnt wird. Wenn Verträge online abgeschlossen werden, gibt es einen Onlinepreis, dieser ist über den Telekom-Shop nicht möglich, das stimmt, allerdings beträgt die Spanne hier nicht 20 - 30 Euro. Viele Grüße Pascal O. von Telekom hilft https://www.facebook.com/telekomhilft']"
101768433554_10156042309933555,Hallo Telekom  wir haben seit einer Woche kein Telefon in Neuwied. Hochwasser ist weg  was ist da los? ??,"['Ach sooo, und jetzt müssen sie trocknen?', 'Scheint so😉', '...Die Kabel sind verquollen....sorry', 'Wir sind seit gestern wieder an der Außenwelt abgeschlossen.  Die Telekom sagte mir ....eine Hauptleitung wäre  defekt']"
101768433554_10156042296238555,Gestern eine ( 2.Termin) Terminerinnerung für heute erhalten....Bin mal gespannt   ob ihr es schafft  eure eigenen Termine einzuhalten.  Beim Umzug hatte es 4 Termine und einer Androhung gebraucht  das es funktioniert.Ich warte mal noch ....,"['', 'Info....Ich solle einen Termin vereinbaren. ...Zum Kotzen....Damit der Techniker einen 3. Termin vereinbaren kann....und ich wieder paar Stunden abwarten kann....', 'So, wie wäre es wenn eure Techniker auch klingeln.....?....Ihr seid wirklich .....Die Letzten....Abzocker...']"
